[2026-02-10 19:52:48] [INFO    ] discord.client: logging in using static token
[2026-02-10 19:52:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-02-10 19:52:49] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-02-10 19:52:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1468255984056012812', 'username': 'F1PredictBotTest2', 'avatar': '7c197a7da7961ce379b32cc6f118040e', 'discriminator': '6010', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-02-10 19:52:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-02-10 19:52:49] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-02-10 19:52:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1468255984056012812', 'name': 'F1PredictBot', 'icon': '7c197a7da7961ce379b32cc6f118040e', 'description': "Are you an F1 fan? Test your knowledge by predicting the results of races and compete to see who can get the most right! Use '/guide' for information on each command. Lights out and away we go!!!", 'type': None, 'bot': {'id': '1468255984056012812', 'username': 'F1PredictBotTest2', 'avatar': '7c197a7da7961ce379b32cc6f118040e', 'discriminator': '6010', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '3b0e23e66d41dd96545662ebbd6dec5f527aa5b861c1d27c09b9886f245149f3', 'flags': 11010048, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1349232762770690080', 'username': 'therocketeer314', 'avatar': 'a0913a1be05dc6e5d6f1cb7799ee4a5d', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 6225920, 'global_name': 'TheRocketeer314', 'avatar_decoration_data': {'asset': 'a_6d16abde318608c1359b4da8d74c6f6c', 'sku_id': '1432550258730078258', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#5f0000', 'clan': {'identity_guild_id': '723644976638066845', 'identity_enabled': True, 'tag': 'RCKT', 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'primary_guild': {'identity_guild_id': '723644976638066845', 'identity_enabled': True, 'tag': 'RCKT', 'badge': '7f968d34689b032120d7a0f2a3d69b83'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 484, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-02-10 19:52:50] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-02-10 19:52:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-mrpr",{"micros":0.0}]']}}
[2026-02-10 19:52:50] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-02-10 19:52:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
